books,writer,rating,description,statistics,details,urls,genres,reading,will_read
Temporada de huracanes,"['Fernanda Melchor', 'Fernanda Melchor']",4.06,"Una novela cruda y desgarradora en la que el lector quedará envuelto, atrapado por las palabras y la atmósfera de terrible, aunque gozosa, fatalidad.

Un grupo de niños encuentra un cadáver flotando en las aguas turbias de un canal de riego cercano a la ranchería de La Matosa. El cuerpo resulta ser de la Bruja, una mujer que heredó dicho oficio de su madre fallecida, y a quienes los pobladores de esa zona rural respetaban y temían.

Tras el macabro hallazgo, las sospechas y habladurías recaerán sobre un grupo de muchachos del pueblo, a quienes días antes una vecina vio mientras huían de casa de la hechicera, cargando lo que parecía ser un cuerpo inerte.

A partir de ahí, los personajes involucrados en el crimen nos contarán su historia mientras los lectores nos sumergimos en la vida de este lugar acosado por la miseria y el abandono, y donde convergen la violencia del erotismo más oscuro y las sórdidas relaciones de poder.","37,874 ratings and 7,299 reviews","['224 pages, Paperback', 'First published May 12, 2017']",https://www.goodreads.com/book/show/202343924,"['Fiction', 'Horror', 'Contemporary', 'Mystery', 'Literary Fiction', 'Crime', 'Spanish Literature', '...more']","2,743 people are currently reading",72.7k people want to read
Tempting Promises,"['Corinne Michaels', 'Corinne Michaels']",4.28,"What’s the worst thing you could do when you’re stranded in the woods with your rival? Sleep with him. That’s what.

Not only is Rowan Whitlock my sister’s ex, but we’re both vying for the contract that would save my family farm.

So why did it have to be Rowan who came to the rescue after I fell on a remote hiking trail? When the weather turned unexpectedly, we were forced to find shelter and ride out the storm. Only that wasn’t the only thing I ended up riding.

We promise ourselves what happens at the cabin stays at the cabin, but when we get back to Sugarloaf, it’s impossible to stay away from him. Those blue eyes captivate me, his strong body comforts me, and he makes me feel beautiful.

Which is crazy, right?

If only my stupid head would listen and stop this before my heart gets involved, but I keep going back because I’m already in too deep.

I should’ve known that the temptation wasn’t worth the risk because when it all falls apart, our promises are broken, and I’m afraid my heart will never recover.","8,423 ratings and 918 reviews","['366 pages, Kindle Edition', 'First published February 22, 2024']",https://www.goodreads.com/book/show/202245621,,"1,660 people are currently reading","7,286 people want to read"
Cuando no queden más estrellas que contar,"['Maria Martinez', 'Maria Martinez']",4.39,"¿Cómo se ignora lo que late en tu interior?
¿Cómo se recupera el rumbo de una vida trazada por una mentira?

Desde muy pequeña, Maya se ha sacrificado en cuerpo y alma por el ballet. Trabaja como solista en la Compañía Nacional de Danza y los ballets más prestigiosos han puesto sus ojos en ella. Sin embargo, un grave accidente acaba con su futuro prometedor.
El único mundo que Maya conoce se ha derrumbado.
Su abuela, que ha guiado cada uno de sus pasos, la culpa por lo sucedido.
La ausencia de su madre pesa más que nunca.
Y un hallazgo fortuito abrirá una profunda herida.

Un viaje inesperado, una chica rota y una verdad escondida en una caja de música.
A veces, dejar que suceda es todo lo que necesitas.","50,579 ratings and 7,754 reviews","['472 pages, Paperback', 'First published August 25, 2021']",https://www.goodreads.com/book/show/58295801,,"3,047 people are currently reading",55.8k people want to read
Los sufrimientos del joven Werther,"['Johann Wolfgang von Goethe', 'Johann Wolfgang von Goethe']",3.69,Los Sufrimientos del Joven Werther. Provided in Spanish only.,"141,849 ratings and 9,736 reviews","['200 pages, Paperback', 'First published January 1, 1774']",https://www.goodreads.com/book/show/67067,"['Fiction', 'German Literature', 'Classics', 'Literature', 'Romance', 'Germany', 'Novels', '...more']","6,123 people are currently reading",95k people want to read
La llamada: Un retrato,"['Leila Guerriero', 'Leila Guerriero']",4.48,"Esta es una historia real, llena de aristas y sombras, sobre la condición humana.

A fines de los sesenta, con trece años, la argentina Silvia Labayru era una adolescente tímida, lectora, amante de los animales, entusiasta de John F. Kennedy, hija de una familia de militares que incluía a su padre, miembro de la Fuerza Aérea y piloto civil. A esa edad ingresó en el Colegio Nacional Buenos Aires, una institución pública de gran prestigio, donde entró en contacto con agrupaciones estudiantiles de izquierda y se transformó en una militante aguerrida. En marzo de 1976 se produjo en la Argentina un golpe de Estado que dio comienzo a una dictadura militar. Para entonces, embarazada de cinco meses y con veinte años, Labayru integraba el sector de Inteligencia de la organización Montoneros, un grupo armado de extracción peronista. El 29 de diciembre de 1976 fue secuestrada por militares y trasladada a la ESMA, la Escuela de Mecánica de la Armada, donde funcionaba un centro de detención clandestino en el cual se torturó y asesinó a miles de personas. Allí tuvo a su hija que, una semana más tarde, fue entregada a los abuelos paternos. En la ESMA, Labayru fue torturada, obligada a realizar trabajo esclavo, violada reiteradamente por un oficial y forzada a representar el papel de hermana de Alfredo Astiz, un miembro de la Armada que se había infiltrado en la organización Madres de Plaza de Mayo, un operativo que terminó con tres Madres y dos monjas francesas desaparecidas. La liberaron en junio de 1978 y en el avión rumbo a Madrid, junto a su hija de un año y medio, pensó: «Se acabó el infierno». Pero el infierno no había terminado. Los argentinos en el exilio la repudiaron, acusándola de traidora a raíz de la desaparición de las Madres. Abominada por quienes habían sido sus compañeros de militancia, arropada por unos pocos amigos fieles exiliados en Europa, hizo una vida. Hasta que en 2018 la contactó desde Buenos Aires un hombre que había sido su pareja en los años setenta y, en una secuencia en la que se funden manipulaciones familiares que torcieron el destino, comenzó a urdirse una historia que continúa hasta hoy.

La periodista Leila Guerriero comenzó a entrevistarla en 2021, mientras se esperaba la sentencia del primer juicio por crímenes de violencia sexual cometidos contra mujeres secuestradas durante la dictadura, en el que Labayru era denunciante. A lo largo de casi dos años, habló con sus amigos, sus exparejas, su pareja actual, sus hijos y sus compañeros de cautiverio y de militancia. El resultado es el retrato de una mujer con una historia compleja en la que se amalgaman el amor, el sexo, la violencia, el humor, los hijos, los padres, la infidelidad, la política, los amigos, las mudanzas, y en la que sobrevuela una llamada telefónica que, realizada desde la ESMA el 14 de marzo de 1977, le salvó la vida.","3,127 ratings and 475 reviews","['432 pages, Paperback', 'First published January 1, 2024']",https://www.goodreads.com/book/show/203982344,"['Nonfiction', 'Spanish Literature', 'Womens', 'Biography', 'Journalism', 'History', 'Historical']",631 people are currently reading,"8,568 people want to read"
Everfound,"['Neal Shusterman', 'Neal Shusterman']",4.29,"While Mary lies in a glass coffin aboard a ghost train heading west, her minions are awaiting her re-awakening by bringing lots of new souls into Everlost to serve her. Meanwhile Jackin’ Jill has met Jix, a fur-jacker—a skin jacker who can take over the bodies of animals, most notably jaguars. Jix serves a Mayan god who collects Everlost coins, and has his own agenda. In the concluding volume of The Skinjacker Trilogy, Neal Shusterman reveals new sides of the characters of Everlost, who are pitted against each other in a battle that may destroy all life on Earth.","11,622 ratings and 928 reviews","['512 pages, Hardcover', 'First published May 3, 2011']",https://www.goodreads.com/book/show/7669259,,284 people are currently reading,"9,571 people want to read"
Antártida,"['Fabián Espejel', 'Fabián Espejel']",3.84,"Antártida, obra ganadora del Premio Bellas Artes de Poesía Aguascalientes 2023, imagina un viaje hecho de viajes a lo ficticio y al pasado. Con estos versos de aleves nevaduras, lo imaginado se entrelaza con la expedición de Roald Amundsen la primera en llegar al polo sur en 1911 y su trayecto a lo desconocido.",91 ratings and 29 reviews,"['95 pages, Paperback', 'First published January 1, 2023']",https://www.goodreads.com/book/show/199362067,['Poetry'],3 people are currently reading,91 people want to read
Evidence of the Affair,"['Taylor Jenkins Reid', 'Taylor Jenkins Reid']",3.86,"The repercussions of an illicit affair unfold in this short story by bestselling author Taylor Jenkins Reid.

Dear stranger…

A desperate young woman in Southern California sits down to write a letter to a man she’s never met—a choice that will forever change both their lives.



The correspondence between Carrie Allsop and David Mayer reveals, piece by piece, the painful details of a devastating affair between their spouses. With each commiserating scratch of the pen, they confess their fears and bare their souls. They share the bewilderment over how things went so wrong and come to wonder where to go from here.

Told entirely through the letters of two comforting strangers and those of two illicit lovers, explores the complex nature of the heart. And ultimately, for one woman, how liberating it can be when it’s broken.","183,488 ratings and 20,165 reviews","['88 pages, Kindle Edition', 'First published September 20, 2018']",https://www.goodreads.com/book/show/41715227,"['Romance', 'Fiction', 'Short Stories', 'Contemporary', 'Audiobook', 'Novella', 'Adult', '...more']",11.9k people are currently reading,156k people want to read
Animales habladores,"['Eva Meijer', 'Eva Meijer']",3.75,"Los delfines y los loros se llaman entre sí por su nombre; los perros de las praderas describen a los intrusos con todo lujo de detalles - incluidos su tamaño, forma, velocidad y el color de su cabello o de sus camisetas-; a los murciélagos les encanta chismear; en los cantos de algunos pájaros y en los patrones de la piel de los calamares encontramos estructuras gramaticales... Con un poco de suerte, algún día se toparán con un animal que quiera hablar con ustedes, o incluso que se tome el tiempo y el esfuerzo de conocerlos. Si eso ocurre, comprobarán lo mucho que este tipo de relaciones nos enseñan sobre el lenguaje y sobre nosotros mismos.

Cada vez son más los hallazgos científicos que demuestran que los animales tienen lenguajes ricos y complejos con reglas estructurales que les permiten diseñar estrategias, dar consejos, mostrarse amor e incluso cotillear. Animales habladores es una fascinante exploración filosófica (en compañía de autores como Aristóteles, Descartes, Wittgenstein y Heidegger) de las formas en que los animales se comunican entre sí y con nosotros, que revela su vida social secreta y sorprendente, cuestiona la jerarquía entre los humanos y el resto de criaturas y propone una nueva forma de entender el lenguaje.",671 ratings and 112 reviews,"['280 pages, Paperback', 'First published February 15, 2016']",https://www.goodreads.com/book/show/62686778,,81 people are currently reading,"1,204 people want to read"
Dear Dolly,"['Dolly Alderton', 'Dolly Alderton']",3.81,"'What I learnt from sharing my most private pain with a semi-professional problem-solver was that the mere act of asking for help was, in itself, healing. It was as if I had crept down to the docks under cover of darkness and floated a message out in a bottle, imagining how it might be received. By writing it, I was acknowledging that someone might care about me; that they'd be able to say the right thing without knowing me. Because I was feeling something that other people had felt and therefore I wasn't, as I suspected, the loneliest and strangest woman in the world.'

Since early 2020, Dolly Alderton has been sharing her wisdom, warmth and wit with the countless people who have written in to her agony aunt column in . Their questions range from the painfully - and sometimes hilariously - relatable to the occasionally bizarre. They include breakups and body issues, families, friendships, dating, divorce, the pleasures and pitfalls of social media, sex, loneliness, longing, love and everything in between.

Without judgement, and with deep empathy informed by her own, much-chronicled adventures in love, friendship and dating, Dolly leads us by the hand through the various labyrinths of life, proving that a problem shared is truly a problem halved.","35,427 ratings and 4,195 reviews","['224 pages, Hardcover', 'First published October 27, 2022']",https://www.goodreads.com/book/show/61343296,,"2,891 people are currently reading",69.3k people want to read
"En el bosque, bajo los cerezos en flor","['Ango Sakaguchi', 'Susana Hayashi', 'Ango Sakaguchi']",3.64,"«En el bosque, bajo los cerezos en flor», puede y debe considerarse, sin duda alguna, una obra maestra del fantástico más grotesco, inquietante y poético.»

Un despiadado ladrón se ha instalado en las montañas y aterroriza a los viajeros que osan cruzar el solitario paso de Suzuka, un camino poco frecuentado que atraviesa un misterioso bosque de cerezos. Un día, en una de sus habituales fechorías, el ladrón cae rendido ante la arrebatadora belleza de una enigmática mujer y decide llevársela consigo para convertirla en su esposa. Subyugado por su hermosura, el bandido se desvivirá por colmarla de oro y joyas y accederá a trasladarse con ella a la capital. Una vez allí, el deseo irrefrenable de la caprichosa mujer lo sumirá en una vorágine de muerte y locura que solo podrá llegar a su fin de una única forma.
«En el bosque, bajo los cerezos en flor» es la esencia misma del relato fantástico y de horror, aquel que se basa tanto en lo contado como en lo que no se cuenta y donde el verdadero miedo yace en la naturaleza misma de la vida y sus preguntas sin respuesta.
Incluye también «La princesa Yonaga y Mimio» y «El Gran Consejero Murakami» otros dos relatos de Ango Sakaguchi protagonizados por mujeres fatales en los que la belleza se torna en perversión y el deseo, en violencia.","2,140 ratings and 400 reviews","['160 pages, Paperback', 'First published January 1, 1947']",https://www.goodreads.com/book/show/18679362,"['Horror', 'Short Stories', 'Japanese Literature', 'Japan', 'Fiction', 'Asia', 'Classics', '...more']",79 people are currently reading,"3,059 people want to read"
The World of Divergent: The Path to Allegiant,"['Veronica Roth', 'Veronica Roth']",3.92,"Don't miss Divergent, soon to be a major motion picture in theaters March 2014!

Fascinated by the world of the Divergent series? This fifty-page bonus, previously only available in the Divergent Series Box Set, includes faction manifestos, a faction quiz, Q&A with #1 New York Times bestselling author Veronica Roth, book playlists, discussion questions, series inspirations, and much more! It also contains ten enticing teasers from Allegiant, the final book in the Divergent series.","34,853 ratings and 1,747 reviews","['50 pages, Unknown Binding', 'First published January 1, 2011']",https://www.goodreads.com/book/show/17860199,"['Fantasy', 'Fiction', 'Dystopia', 'Young Adult', 'Science Fiction', 'Adventure', 'Teen', '...more']",149 people are currently reading,"5,706 people want to read"
Wild Lands,"['Stacey Marie Brown', 'Stacey Marie Brown']",4.17,"Brexley has endured starvation and survived torture and even Warwick Farkas, the brutal legend who still haunts her like a ghost, spilling into her thoughts and life. His betrayal made her a prisoner of Killian, the gorgeous Fae Lord of Budapest.

There her life takes another unforeseen twist, something that will change the fragile alliance between the humans and the fae, and Brexley finds herself in the middle.

As weeks go by, Brexley also discovers Killian isn’t the malicious leader she was told about. As they spend more time together, their relationship begins to shift. However, when an old acquaintance turns up, she is given the chance to escape the sexy fae leader, and her entire world explodes.

Brexley is thrown into a nefarious web of politics, desire, betrayal, lies, and truths that will shatter her foundation and who she is, what she believes, and who can be trusted. No longer is there a clear line between good and bad.

Hunted by both sides, Brexley is on the run and must untangle all the lies, deceit, and deceptions, before she becomes another victim in the wild lands.","25,944 ratings and 1,814 reviews","['297 pages, Kindle Edition', 'First published February 9, 2021']",https://www.goodreads.com/book/show/56428143,"['Fantasy', 'Romance', 'Fantasy Romance', 'Dystopia', 'Urban Fantasy', 'Paranormal', 'Romantasy', '...more']","1,032 people are currently reading",17.1k people want to read
La prisionera de oro,"['Raven Kennedy', 'María Angulo Fernández', 'Raven Kennedy']",3.60,"Oro. Suelos de oro, paredes de oro, ropa de oro. En Highbell, en el castillo construido en las montañas heladas, todo está hecho de oro.

Incluso yo. El rey Midas me rescató. Me sacaron de los barrios bajos y me colocaron en un pedestal. Me llaman su favorita. Soy la mujer a la que tocó con oro para mostrarles a todos que le pertenezco. Para mostrar lo poderoso que es. Él me dio protección y yo le di mi corazón.

De repente, mi confianza se rompe. Mi amor es desafiado y me doy cuenta de que todo lo que creía saber sobre Midas podría estar equivocado.

Porque estos barrotes en los que estoy encerrada, por dorados que sean, siguen siendo solo una jaula.","210,361 ratings and 21,264 reviews","['400 pages, Paperback', 'First published October 16, 2020']",https://www.goodreads.com/book/show/61277813,,21.4k people are currently reading,383k people want to read
Plata quemada,"['Ricardo Piglia', 'Ricardo Piglia']",3.79,"Esta novela cuenta un caso real. En el Buenos Aires de 1965, una banda asalta un banco. Varios políticos y policías también participan y se hacen con su parte del botín. Pero, en la huida, los maleantes deciden traicionar a sus socios y escapar con toda la plata. La policía no lo va a permitir. El autor tuvo acceso a los legajos judiciales del caso, la transcripción de las grabaciones secretas, las declaraciones testimoniales y la crónica periodística. Es una novela dura y conmovedora, deslumbrante y verdadera.","2,576 ratings and 243 reviews","['232 pages, Hardcover', 'First published January 1, 1997']",https://www.goodreads.com/book/show/1654,"['Fiction', 'Spanish Literature', 'LGBT', 'Latin American', 'Crime', 'Historical Fiction', 'Classics', '...more']",90 people are currently reading,"3,040 people want to read"
Manfredo: Poema Dramático,"['Lord Byron', 'Lord Byron']",3.78,"Publicado em 1817, este poema dramático de Lord Byron repercute tanto o contato que o poeta travou com o ""Fausto"" de Goethe quanto a conturbada série de escândalos nos quais ele havia se envolvido. Autoexilado na Suíça, cuja beleza alpina serviu-lhe de inspiração, Byron descrevia ""Manfredo"" como uma obra metafísica que deveria ser encenada apenas no teatro mental do leitor, e tinha esperanças de que jamais tentassem adaptá-la aos palcos. Seu protagonista é um conde com conhecimentos arcanos que evoca entidades como espíritos, fadas e demônios em busca de uma solução definitiva para seu remorso por crimes passados. Nesta tradução em prosa do final do século XIX, podemos desfrutar de uma das mais sublimes criações deste titã do Romantismo mundial, que nos legou nestas páginas um dos mais prototípicos anti-heróis byronianos.","2,732 ratings and 239 reviews","['99 pages, Hardcover', 'First published January 1, 1817']",https://www.goodreads.com/book/show/49383032,"['Poetry', 'Classics', 'Plays', 'Fiction', 'Gothic', 'Romanticism', 'Drama', '...more']",58 people are currently reading,"3,179 people want to read"
El último encuentro,"['Sándor Márai', 'Judit Xantus Szarvas', 'Sándor Márai']",3.99,"Un pequeño castillo de caza en Hungría, al pie de los Cárpatos, donde alguna vez se celebraron elegantes veladas y cuyos salones decorados al estilo francés se llenaban de la música de Chopin, ha cambiado radicalmente de aspecto. El esplendor de antaño ya no existe, todo anuncia el final de una época. Dos hombres mayores, que de jóvenes habían sido amigos inseparables, se citan a cenar tras cuarenta años sin verse. Uno ha pasado mucho tiempo en Extremo Oriente, el otro, en cambio, ha permanecido en su propiedad. Pero ambos han vivido a la espera de este momento, pues entre ellos se interpone un secreto de una fuerza singular. Todo converge en un duelo sin armas, aunque tal vez mucho más cruel, cuyo punto en común es el recuerdo imborrable de una mujer.
En esta magistral novela, Sándor Márai plantea la búsqueda de la verdad como fuerza liberadora, como soporte ético imprescindible para sobrellevar el peso de una vida. La exactitud de su prosa, unida a la vigencia de sus propuestas morales, lo sitúa entre los grandes escritores europeos del siglo xx.","37,821 ratings and 4,112 reviews","['189 pages, Paperback', 'First published January 1, 1942']",https://www.goodreads.com/book/show/17565305,"['Fiction', 'Classics', 'Hungary', 'Historical Fiction', 'Hungarian Literature', 'Literature', 'Romance', '...more']","1,265 people are currently reading",28k people want to read
Twelve,"['Jennifer Lynn Barnes', 'Jennifer Lynn Barnes']",3.79,"Cassie Hobbes has been working with the FBI since she was a teenager. Now twenty-three years old, she and her fellow Naturals have taken over running the program that taught them everything they know. As a unit, they're responsible for identifying new Naturals--and solving particularly impossible cases. When their latest case brings back a ghost from their past, Cassie and the other Naturals find themselves racing against the clock--and reliving their own childhood traumas.In a small, coastal town in Maine, there has been a rash of teen suicides--or at least, that's what the police believe. Mackenzie McBride, age twelve, thinks differently. Desperate to make herself heard, she stands at the top of a lighthouse, threatening to jump... unless the FBI agents who rescued her from a kidnapper at age six come to hear her out.Enter the Naturals. It doesn't take Cassie long to realize that Mackenzie isn't bluffing: she truly is convinced that the suicides are murder, and she really will jump if she can't get the FBI to believe her. To the outside world, Mackenzie is nothing more than a traumatized child. But so was Cassie, once upon a time. So were Michael, Dean, Sloane, Lia, and Celine. With a storm rolling in off the ocean and Mackenzie's position becoming more precarious by the moment, the Naturals have very little time to get to the truth about the deaths--and about twelve-year-old Mackenzie McBride.","42,661 ratings and 4,823 reviews","['144 pages, Kindle Edition', 'First published November 7, 2017']",https://www.goodreads.com/book/show/197002873,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Crime', 'Fiction', 'Contemporary', '...more']","1,360 people are currently reading",45.4k people want to read
Los dominios del lobo,"['Javier Marías', 'Javier Marías']",3.48,"Publicada por primera vez a los 19 años, Los dominios del lobo es la primera novela de Javier marías. La acción transcurre enteramente en EE.UU y los personajes son asimismo americanos, y esa América retratada es una divertida parodia y a la vez un homenaje al cine de los años dorados de Hollywood. Esta novela, con su estructura atrevida y fragmentada, su desparpajo inventivo, su intencionada utilización del tópico y su aplicación de una técnica narrativa que no elude la truculencia, se adelantó a su época y, vista desde hoy, se erige como una obra precursora de la más viva literatura actual. Partiendo de la aparatosa desintegración de la famila Taeger en 1922, el autor nos ofrece una verdadera catarata de aventuras trepidantes que cubren toda una gama de géneros: desde la novela negra hasta el melodrama, desde el relato de pasiones rurales hasta la guerra de Secesión, desde la intriga policíaca hasta las guerras de gangsters de los años treinta o el exotismo del profundo sur.",554 ratings and 58 reviews,"['269 pages, Paperback', 'First published January 1, 1971']",https://www.goodreads.com/book/show/17794690,"['Fiction', 'Novels', 'Spanish Literature', 'Literature']",17 people are currently reading,361 people want to read
Mentiras peligrosas,"['Becca Fitzpatrick', 'Gema Moral', 'Becca Fitzpatrick']",3.81,"La vida de Stella Gordon es una mentira.

En tanto que testigo principal en el juicio contra de un traficante de drogas, Stella está en el programa de protección de testigos y tiene que vivir en el pequeño pueblo de Thunder Basin, Nebraska, cuyos habitantes no deben saber, jamás, quién es en realidad. Ni siquiera Chet Falconer, el chico que hace que desee revelar su verdadera identidad. Stella sabe que si dice la verdad solo traerá violencia a ese lugar seguro.

Pero a pesar de lo mucho que intenta mantenerse oculta, el peligro está cercano. Los asesinos siempre intentan deshacerse de los testigos, y Stella ha cometido un error que podría convertirse en la pista crucial para encontrarla.","12,216 ratings and 1,387 reviews","['400 pages, Paperback', 'First published November 10, 2015']",https://www.goodreads.com/book/show/28051080,"['Young Adult', 'Romance', 'Mystery', 'Thriller', 'Contemporary', 'Fiction', 'Mystery Thriller', '...more']",300 people are currently reading,13.6k people want to read
Sobre héroes y tumbas,"['Ernesto Sabato', 'Ernesto Sabato']",4.26,"Esta es la segunda novela de Ernesto Sabato, que profundiza la senda iniciada por El túnel. Una obra, considerada uno de los mejores libros del siglo, que indaga en las zonas más oscuras del espíritu","13,165 ratings and 784 reviews","['547 pages, Paperback', 'First published January 1, 1961']",https://www.goodreads.com/book/show/1677,"['Fiction', 'Classics', 'Spanish Literature', 'Latin American', 'Novels', 'Literature', 'Latin American Literature', '...more']",996 people are currently reading,19.1k people want to read
The Dead Romantics,"['Ashley Poston', 'Ashley Poston']",3.92,"Alternate cover edition of ISBN 9780593336489.

Florence Day is the ghostwriter for one of the most prolific romance authors in the industry, and she has a problem—after a terrible breakup, she no longer believes in love. It’s as good as dead.

When her new editor, a too-handsome mountain of a man, won’t give her an extension on her book deadline, Florence prepares to kiss her career goodbye. But then she gets a phone call she never wanted to receive, and she must return home for the first time in a decade to help her family bury her beloved father.

For ten years, she’s run from the town that never understood her, and even though she misses the sound of a warm Southern night and her eccentric, loving family and their funeral parlor, she can’t bring herself to stay. Even with her father gone, it feels like nothing in this town has changed. And she hates it.

Until she finds a ghost standing at the funeral parlor’s front door, just as broad and infuriatingly handsome as ever, and he’s just as confused about why he’s there as she is.

Romance is most certainly dead... but so is her new editor, and his unfinished business will have her second-guessing everything she’s ever known about love stories.","205,892 ratings and 34,437 reviews","['368 pages, Paperback', 'First published June 28, 2022']",https://www.goodreads.com/book/show/58885776,"['Romance', 'Fiction', 'Contemporary', 'Paranormal', 'Fantasy', 'Audiobook', 'Contemporary Romance', '...more']","7,999 people are currently reading",300k people want to read
Dolce Inferno,"['Mar Petryk', 'Mar Petryk']",4.11,"FIRMÓ UN PACTO CON EL DIABLO, AHORA ES EL HEREDERO DE UN IMPERIO DE SANGRE Y PERVERSIÓN.

¿HAY LUGAR PARA EL AMOR EN EL INFIERNO?

Alessandro Di Stéfano vendió su cuerpo para salvar a su hermano de la pobreza, para escapar de una vida marcada por el hambre, la ausencia y el dolor. Así entra en Dolce Inferno, un mundo oscuro y sensual donde solo existe una regla: seguir tu instinto.

Y Alessandro lo hace: sigue su instinto para sobrevivir en un negocio hostil, en el que pasa de inexperto gigoló a rey de un imperio de acompañantes, bailarines exóticos, prostitutas y amantes de alquiler.

El éxito lo rodea. Su vida parece perfecta, pero hay algo que añora. Algo que le fue arrebatado, algo que no puede recuperar con dinero: el amor de Troia, la bailarina de sus sueños, la mujer por la que firmó el pacto.

El destino vuelve a cruzarlos, a enredarlos en mentiras y secretos peligros. Saben que no deben acercarse, hay reglas que no pueden romper. Pero el deseo es ciego y caprichoso.",208 ratings and 56 reviews,"['589 pages, Paperback', 'Published March 1, 2024']",https://www.goodreads.com/book/show/210241168,['Thriller'],23 people are currently reading,439 people want to read
El dolor de la sangre,"['Kathy Serrano', 'Kathy Serrano']",4.05,,19 ratings and 4 reviews,"['200 pages, Paperback', 'Published April 1, 2022']",https://www.goodreads.com/book/show/61245103,,1 person is currently reading,27 people want to read
Preso de sus palabras (Directo a ti nº 1),"['E.R. Dark', 'E.R. Dark']",3.66,"Izar es una exitosa escritora de literatura romántica. A pesar de escribir maravillosas historias de amor, ella está sola y desilusionada de las relaciones.Cuando decide cambiar de género e introducirse en la novela erótica piensa que el mejor modo de hacerlo es ir a un club swinger a entender de primera mano sobre lo que va a escribir.Allí conoce a Darío, un hombre sexy y seguro de sí mismo que la guía en su viaje. Uno en el que descubrirá la sensualidad que lleva dentro y los entresijos de un mundo que no pensaba llegar a desear.Pero como en toda buena historia, el príncipe azul y el final feliz no llegan al primer parpadeo. La pregunta es si serán capaces de superar los obstáculos o simplemente se rendirán al primer impedimento. Cuando el pasado los golpee llegara el momento de decidir que perdonar y que no.Primer libro de la serie Directo a ti. Libros independientes.",29 ratings and 5 reviews,"['193 pages, Kindle Edition', 'First published June 30, 2015']",https://www.goodreads.com/book/show/25822898,,5 people are currently reading,19 people want to read
Cuentos de los hermanos Grimm,"['Jacob Grimm', 'Jacob Grimm']",4.24,"Los hermanos Jacob y Wilhelm Grimm son los autores de cuentos infantiles tan célebres como como Caperucita roja, Hansel y Gretel o Blancanieves. Entre 1812 y 1857 recopilaron y editaron relatos provenientes de diferentes tradiciones orales. El resultado fue esta colección de historias en la que reyes y princesas, brujas, campesinos y animales mágicos conforman un universo fantástico que ha sobrevivido hasta nuestros días. Esta edición recupera las bellas ilustraciones de Otto Ubbelohde.","215,308 ratings and 5,744 reviews","['351 pages, Hardcover', 'First published December 20, 1812']",https://www.goodreads.com/book/show/37750461,"['Classics', 'Fantasy', 'Fiction', 'Short Stories', 'Fairy Tales', 'Childrens', 'Mythology', '...more']",44.5k people are currently reading,197k people want to read
Mientras agonizo,"['William Faulkner', 'Jesús Zulaika', 'William Faulkner']",3.72,"La familia de Addie Bundren se prepara para cumplir su última voluntad: enterrarla en la tierra de sus antepasados. El viaje de los Bundren –blancos, pobres, pero sobre todo muy humanos– se convertirá en una odisea coral donde el trayecto se entrecruza con sus respectivos itinerarios vitales: los de unos personajes guiados por un enconado sentimiento de deber al honor que, no obstante, irá desenmascarando también actitudes y sentimientos menos amables.

En el camino de dificultades físicas y morales, por donde parece escucharse el rasgar monótono de la sierra de Cash mientras construye el ataúd de su madre, y sentirse el pálpito de la vida en su hermana adolescente Dewey Dell; por donde se avista la presencia amenazante de unos buitres al acecho, o el brillo descarado y vil de una flamante dentadura postiza, el lector observa y a la vez se siente compañero de esa intemperie que ahoga a todos. Imposible olvidar las atmósferas y personajes de este clásico con el que Faulkner se instala para siempre en nuestra memoria.","176,540 ratings and 11,807 reviews","['248 pages, Paperback', 'First published January 1, 1930']",https://www.goodreads.com/book/show/48694977,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Southern Gothic', '...more']","7,577 people are currently reading",216k people want to read
Casa de muñecas / Juan Gabriel Borkman,"['Henrik Ibsen', 'Henrik Ibsen']",3.77,Las dos obras teatrales del dramaturgo noruego.,"153,700 ratings and 7,579 reviews","['144 pages, Paperback', 'First published January 1, 1879']",https://www.goodreads.com/book/show/28542660,"['Plays', 'Fiction', 'Drama', 'School', 'Theatre', 'Classics', 'Feminism', '...more']","2,290 people are currently reading",60.1k people want to read
Washed Tombs,"['Mercedes Estramil', 'Mercedes Estramil']",3.33,"¿Sería posible la existencia de un Concurso Mortuorio Nacional en el que los habitantes de tumbas participen y escriban lo que en vida no pudieron, supieron o quisieron?
En Washed Tombs lo es.
A través de un viaje colmado de rencores y dolidas concesiones, la protagonista de esta nueva novela de Mercedes Estramil explora, de Nuevo París a Carrasco, una Montevideo inhóspita, levantando veredas y tapas de ataúdes en busca de respuestas.
No las encuentra, claro. Padres, esposos, amigos, hijos y amantes -vivos o muertos- se ocupan de impedírselo mientras la historia se va cargando sin pausa de algo absurdo, profano y trágico.",42 ratings and 5 reviews,"['120 pages', 'Published January 1, 2017']",https://www.goodreads.com/book/show/36406981,,3 people are currently reading,21 people want to read
